"Target.Color","Target.stim","Condition","Outer.Color","C1","C2","C3","C4","C5","C6","Congruency","random"
"Blue","35,0,220","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","incongruent",598
"Blue","40,0,215","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","incongruent",599
"Blue","1,0,254","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","congruent",600
"Blue","30,0,225","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",601
"Blue","25,0,230","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","congruent",602
"Purple","55,0,200","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",603
"Purple","70,0,185","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",604
"Purple","80,0,175","Mid.2","Purple","80,0,175","77,0,178","73,0,182","70,0,185","67,0,188","60,0,195","congruent",605
"Blue","30,0,225","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","congruent",606
"Blue","20,0,235","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",607
"Blue","5,0,250","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","incongruent",608
"Purple","95,0,160","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",609
"Blue","15,0,240","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","congruent",610
"Blue","40,0,215","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","congruent",611
"Purple","80,0,175","Mid.2","Purple","80,0,175","77,0,178","73,0,182","70,0,185","67,0,188","60,0,195","congruent",612
"Purple","85,0,170","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",613
"Purple","65,0,190","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",614
"Blue","50,0,205","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","congruent",615
"Blue","45,0,210","Mid.2","Purple","80,0,175","77,0,178","73,0,182","70,0,185","67,0,188","60,0,195","incongruent",616
"Blue","45,0,210","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",617
"Blue","40,0,215","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",618
"Blue","25,0,230","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",619
"Blue","25,0,230","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","congruent",620
"Blue","1,0,254","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","congruent",621
"Purple","75,0,180","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","congruent",622
"Purple","60,0,195","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","congruent",623
"Blue","30,0,225","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",624
"Purple","90,0,165","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",625
"Purple","55,0,200","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",626
"Purple","65,0,190","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","congruent",627
"Blue","1,0,254","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","congruent",628
"Purple","85,0,170","High.3","Mixed","51,0,204","42,0,213","34,0,221","26,0,229","17,0,238","1,0,254","mixed",629
"Blue","45,0,210","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","incongruent",630
